date,product,region,units,revenue,discount_pct
2024-01-05,Widget,North,42,1842.50,5.0
2024-01-07,Gadget,South,15,899.75,0.0
2024-01-09,Widget,East,28,1232.00,10.0
2024-01-12,Gizmo,West,77,3465.20,8.5
2024-01-15,Gadget,North,22,1320.00,0.0
2024-01-18,Widget,South,33,1450.25,12.0
2024-01-20,Gizmo,East,55,2475.00,5.0
2024-01-22,Gadget,West,9,540.00,0.0
2024-01-25,Widget,North,61,2695.50,7.5
2024-01-27,Gizmo,South,45,2025.00,10.0
2024-02-01,Widget,East,39,1716.00,5.0
2024-02-04,Gadget,West,18,1080.00,2.5
2024-02-07,Gizmo,North,68,3060.00,15.0
2024-02-10,Widget,South,25,1100.00,0.0
2024-02-12,Gadget,East,21,1260.00,5.0
2024-02-15,Gizmo,West,80,3600.00,20.0
2024-02-18,Widget,North,55,2420.00,8.0
2024-02-21,Gadget,South,12,720.00,0.0
2024-02-23,Gizmo,East,48,2160.00,6.0
2024-02-26,Widget,West,31,1364.00,4.0
2024-03-01,Gadget,North,19,1140.00,0.0
2024-03-04,Gizmo,South,72,3240.00,12.5
2024-03-07,Widget,East,44,1936.00,9.0
2024-03-10,Gadget,West,16,960.00,0.0
2024-03-13,Gizmo,North,65,2925.00,10.0
2024-03-16,Widget,South,29,1276.00,3.0
2024-03-19,Gadget,East,24,1440.00,4.5
2024-03-22,Gizmo,West,82,3690.00,17.5
2024-03-25,Widget,North,58,2552.00,9.5
2024-03-28,Gadget,South,14,840.00,0.0
2024-03-30,Gizmo,East,52,2340.00,7.0
2024-04-02,Widget,West,36,1584.00,5.0
2024-04-05,Gadget,North,20,1200.00,0.0
2024-04-08,Gizmo,South,75,3375.00,11.0
2024-04-11,Widget,East,41,1804.00,6.0
2024-04-14,Gadget,West,17,1020.00,2.0
2024-04-17,Gizmo,North,70,3150.00,15.0
2024-04-20,Widget,South,32,1408.00,4.0
2024-04-23,Gadget,East,26,1560.00,5.5
2024-04-26,Gizmo,West,88,3960.00,22.5
2024-04-29,Widget,North,62,2728.00,10.0
2024-05-02,Gadget,South,13,780.00,0.0
2024-05-05,Gizmo,East,58,2610.00,8.0
2024-05-08,Widget,West,38,1672.00,5.5
2024-05-11,Gadget,North,23,1380.00,3.0
2024-05-14,Gizmo,South,78,3510.00,15.0
2024-05-17,Widget,East,46,2024.00,6.5
2024-05-20,Gadget,West,18,1080.00,0.0
2024-05-23,Gizmo,North,67,3015.00,11.0
2024-05-26,Widget,South,30,1320.00,3.5
2024-05-29,Gadget,East,25,1500.00,5.0
2024-06-01,Gizmo,West,90,4050.00,25.0
2024-06-04,Widget,North,64,2816.00,9.0
2024-06-07,Gadget,South,15,900.00,0.0
2024-06-10,Gizmo,East,60,2700.00,9.0
2024-06-13,Widget,West,40,1760.00,6.0
2024-06-16,Gadget,North,24,1440.00,4.0
